"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"58",0.5,1,0.25,10,0.01,0.75,2,0.349732444380087,1.24398628806143,0.108705973126459,10,0.0121278108598668,0.704202888954807,2.00338258975638,400
"59",0.5,1,0.25,10,0.01,0.75,2,0.482786662206281,1.098549798724,0.123540625969074,10,0.0110095240907894,0.666290027876283,2.08620481868856,400
"60",0.5,1,0.25,10,0.01,0.75,2,0.588947388735542,0.915795549731783,0.338683274458283,10,0.00530573813038603,0.964482218501464,2.04194154225237,400
"61",0.5,1,0.25,10,0.01,0.75,2,0.811930085976947,0.474861322452872,0.562792491686576,10,0.00883407026160454,0.737753552075726,2.00933812455281,400
"62",0.5,1,0.25,10,0.01,0.75,2,0.598738272953573,0.794752514143013,0.39906596622372,10,0.0118506144934816,0.710195369921351,1.99013430327996,400
"63",0.5,1,0.25,10,0.01,0.75,2,0.136261530969975,1.31317777767775,0.0531021357421341,10,0.0307154455503554,0.724446297685269,1.91433354456395,400
"64",0.5,1,0.25,10,0.01,0.75,2,0.402951263391053,1.15619541201124,0.151998365109807,10,0.00897463909874161,0.830635512574046,1.9911935788305,400
"65",0.5,1,0.25,10,0.01,0.75,2,0.264318857357911,1.1106921925195,0.235156530420904,10,0.0238401727712471,0.716328105150766,2.00419961182326,400
"66",0.5,1,0.25,10,0.01,0.75,2,0.316287218374881,1.28522689752394,0.0452042770872256,10,0.013668730482631,0.689345659890588,1.93763666120995,400
"67",0.5,1,0.25,10,0.01,0.75,2,0.694164508756314,0.545150811450527,0.683252860159913,10,0.0133887269540157,0.722140144400302,1.93209040026636,400
"68",0.5,1,0.25,10,0.01,0.75,2,0.328111664645247,1.31209211249659,0.0350223656122133,10,0.01839542645416,0.658117628194937,2.02312287604101,400
"69",0.5,1,0.25,10,0.01,0.75,2,0.534999913144917,0.798924059997167,0.475366871707572,10,0.0123806419456145,0.789478750361408,1.98034993500959,400
"70",0.5,1,0.25,10,0.01,0.75,2,0.679924136825322,0.695263066577449,0.419813314941554,10,0.00598449852395694,0.961840189974333,1.97064892482298,400
"71",0.5,1,0.25,10,0.01,0.75,2,0.657512594684028,0.834642317104961,0.393994388407665,10,0.00639068892497527,0.838162366501755,1.94076593531434,400
"72",0.5,1,0.25,10,0.01,0.75,2,0.411248030900069,1.13598432047108,0.175718286637683,10,0.0108657715058948,0.700106023785448,2.09285693275284,400
"73",0.5,1,0.25,10,0.01,0.75,2,0.430360777292298,0.964496038513279,0.324234820653843,10,0.00823465524867132,0.864775804819182,2.02098193344409,400
"74",0.5,1,0.25,10,0.01,0.75,2,0.255368601886474,1.14654357788711,0.130337063374491,10,0.0248347968593537,0.6956655718327,1.974511154543,400
"75",0.5,1,0.25,10,0.01,0.75,2,0.325860060896893,1.27650882685259,0.00619283089164031,10,0.0102296280417935,0.806292203495169,1.89455421647113,400
"76",0.5,1,0.25,10,0.01,0.75,2,0.530212257213457,0.833217932232124,0.253670774359304,10,0.00727495704246856,0.897309969955496,2.03485305476098,400
"77",0.5,1,0.25,10,0.01,0.75,2,0.439233391091664,0.964580007935,0.274683690522398,10,0.0145667504505971,0.741023232343013,1.98232449210685,400
"78",0.5,1,0.25,10,0.01,0.75,2,0.535758662311537,0.798991122260795,0.311731434776833,10,0.0133242628920231,0.752513391826445,2.06109409532494,400
"79",0.5,1,0.25,10,0.01,0.75,2,0.577227530653863,1.00704990884573,0.293579371445403,10,0.0132026469458595,0.663330947755002,1.98469557198868,400
"80",0.5,1,0.25,10,0.01,0.75,2,0.459411839853734,1.14810354748128,0.168971711878381,10,0.0118736659456176,0.709730096650627,1.95597235775685,400
"81",0.5,1,0.25,10,0.01,0.75,2,0.381245649722186,1.19751180225764,0.101385863660584,10,0.00980420537146974,0.772699925828168,2.08895926504519,400
